ticker,ticker_cnt,industry,beta,sector
FICO,10,Software—Application,1.172549,Technology
RAVE,10,Restaurants,0.714705,Consumer Cyclical
SGH,10,Semiconductors,1.135609,Technology
MTSI,10,Semiconductors,2.042647,Technology
LOOP,10,Specialty Chemicals,1.206372,Basic Materials
TCS,10,Specialty Retail,1.256372,Consumer Cyclical
VOXX,10,Consumer Electronics,1.211274,Technology
AINV,10,Asset Management,1.871568,Financial Services
ACM,10,Engineering & Construction,1.485294,Industrials
MSM,10,Industrial Distribution,0.995098,Industrials
SCHN,10,Steel,1.5,Basic Materials
KNIT,10,Advertising Agencies,2.403274,Communication Services
CTAS,10,Specialty Business Services,1.517647,Industrials
AZZ,10,Electrical Equipment & Parts,1.372549,Industrials
GBDC,10,Asset Management,0.62647,Financial Services
MCHP,10,Semiconductors,1.566176,Technology
NTIC,10,Specialty Chemicals,1.094607,Basic Materials
SMG,10,Agricultural Inputs,1.12696,Basic Materials
CCF,10,Specialty Chemicals,0.634313,Basic Materials
FDS,10,Financial Data & Stock Exchanges,0.812745,Financial Services
FLEX,10,Electronic Components,1.528921,Technology
POWL,10,Electrical Equipment & Parts,1.30196,Industrials
MLFB,10,Entertainment,2.80049,Communication Services
UHAL,10,Rental & Leasing Services,0.954411,Industrials
VRTC,10,Software—Application,-30.621078,Technology
EMKR,10,Semiconductors,1.381372,Technology
FC,10,Consulting Services,1.668137,Industrials
PFLT,10,Asset Management,1.839215,Financial Services
LNN,10,Farm & Heavy Construction Machinery,0.445098,Industrials
SKY,10,Residential Construction,1.859594,Consumer Cyclical
SAR,10,Asset Management,1.570588,Financial Services
RVPH,10,Biotechnology,0.078827,Healthcare
ENS,10,Electrical Equipment & Parts,1.414705,Industrials
THR,10,Specialty Industrial Machinery,1.389705,Industrials
GBX,10,Railroads,1.398529,Industrials
PSEC,10,Asset Management,0.857352,Financial Services
STZ,10,Beverages—Wineries & Distilleries,1.198039,Consumer Defensive
RAD,10,Pharmaceutical Retailers,1,Healthcare
